feature,driver_group,feature_value_midpoint,local_effect,ale_residual_t_ha,n_rows
heat_days_30,heat,1.0,0.003780576774424678,0.02656970015492877,112
heat_days_30,heat,4.5,-0.009785997685267096,0.016783702469661675,139
heat_days_30,heat,9.5,0.0015330440166490774,0.01831674648631075,119
heat_days_30,heat,14.5,-0.00042052900803575836,0.01789621747827499,118
heat_days_30,heat,21.0,-0.015169171387684045,0.0027270460905909483,123
heat_days_30,heat,30.0,-0.003928352193577104,-0.001201306102986157,131
heat_days_30,heat,41.60000000000002,-0.00718480892749688,-0.008386115030483036,138
heat_days_30,heat,57.10000000000002,0.00043611330385932086,-0.007950001726623714,116
heat_days_30,heat,79.0,-0.01874377880332314,-0.026693780529946854,128
heat_days_30,heat,126.5,-0.005501370915660046,-0.032195151445606904,133
heat_degree_days_30,heat,0.38800000000000007,0.003589772157455155,0.014906579245196195,126
heat_degree_days_30,heat,3.533,-0.005042959751557154,0.009863619493639042,125
heat_degree_days_30,heat,11.69,-0.0011628860222858322,0.008700733471353209,125
heat_degree_days_30,heat,24.03,-0.004117376012589793,0.004583357458763416,127
heat_degree_days_30,heat,44.49,-0.0031107888284003975,0.0014725686303630175,123
heat_degree_days_30,heat,71.766,-0.0016254573226739985,-0.00015288869231098144,128
heat_degree_days_30,heat,116.78600000000002,-0.004261442634989319,-0.0044143313273003,126
heat_degree_days_30,heat,194.765,-0.0003095968377971518,-0.004723928165097454,124
heat_degree_days_30,heat,315.715,-0.010199174487448674,-0.014923102652546127,126
heat_degree_days_30,heat,796.195,-0.00019604630625556424,-0.015119148958801691,127
rain_sum,drought,189.508,0.1119875841856328,-0.04122178859982788,126
rain_sum,drought,295.25800000000004,0.049887489095210624,0.008665700495382761,125
rain_sum,drought,340.617,0.007916735542111523,0.01658243603749429,126
rain_sum,drought,382.187,0.0015011952763242322,0.018083631313818516,124
rain_sum,drought,424.21000000000004,8.739090509480572e-05,0.018171022218913313,127
rain_sum,drought,470.07500000000005,-0.00011827559236198724,0.01805274662655132,125
rain_sum,drought,527.991,-0.003929815339266597,0.014122931287284729,127
rain_sum,drought,596.894,-0.013142281705434427,0.0009806495818502903,125
rain_sum,drought,674.69,-0.014308303942059945,-0.013327654360209662,126
rain_sum,drought,945.697,-0.026531445591641813,-0.03985909995185147,126
dry_spell_events_14d,drought,0.5,0.003026423727464499,0.01583484016239178,411
dry_spell_events_14d,drought,1.5,0.021258311532253864,0.037093151694645644,365
dry_spell_events_14d,drought,3.0,-0.05010007360767732,-0.013006921913031677,343
dry_spell_events_14d,drought,6.0,-0.09993326257333654,-0.11294018448636822,138
max_dry_spell_1mm,drought,7.5,-0.004725901130663053,0.0007228562818776853,84
max_dry_spell_1mm,drought,11.0,-0.0043210510791125666,-0.0035981947972348813,144
max_dry_spell_1mm,drought,12.5,-0.0017745626249621345,-0.005372757422197016,107
max_dry_spell_1mm,drought,13.5,0.000842731858165978,-0.004530025564031037,76
max_dry_spell_1mm,drought,15.0,0.004616012945626673,8.598738159563621e-05,197
max_dry_spell_1mm,drought,17.0,-0.0005069884913313924,-0.0004210011097357559,135
max_dry_spell_1mm,drought,19.5,0.0006910196929902741,0.00027001858325451794,112
max_dry_spell_1mm,drought,22.5,0.0004205359119796719,0.0006905544952341899,135
max_dry_spell_1mm,drought,27.0,-0.0066294222881846865,-0.005938867792950496,131
max_dry_spell_1mm,drought,54.5,0.02116686403192783,0.015227996238977333,136
max_3day_rain,excess_rain,18.597,0.012487953154658076,-0.0029736241623354535,126
max_3day_rain,excess_rain,31.072000000000003,0.008314838393006277,0.005341214230670823,124
max_3day_rain,excess_rain,37.81,-0.0009925844568768876,0.004348629773793935,125
max_3day_rain,excess_rain,43.34,-0.0011723459828011239,0.0031762837909928114,127
max_3day_rain,excess_rain,48.435,0.0018947315713496414,0.005071015362342453,126
max_3day_rain,excess_rain,53.527000000000015,-0.00613749437616987,-0.001066479013827417,126
max_3day_rain,excess_rain,59.106000000000016,-0.004629582191661121,-0.005696061205488538,126
max_3day_rain,excess_rain,66.641,0.003869105261095627,-0.001826955944392911,125
max_3day_rain,excess_rain,77.352,0.0010100332106133894,-0.000816922733779521,125
max_3day_rain,excess_rain,131.765,-0.004623893932197089,-0.00544081666597661,127
