scope,driver_group,baseline_r2,permuted_r2,r2_drop,baseline_rmse_t_ha,permuted_rmse_t_ha,rmse_increase_t_ha,baseline_mae_t_ha,permuted_mae_t_ha,mae_increase_t_ha,n_rows,repeats,rank_rmse
all_rows,heat,0.09148149087483803,-0.0008326673035532611,0.0923141581783913,0.43112064180284815,0.4524765841809052,0.021355942378057047,0.32640041006799236,0.34928701057264455,0.022886600504652188,343,8,1
all_rows,drought,0.09148149087483803,0.005811288580414964,0.08567020229442307,0.43112064180284815,0.4509749628626706,0.019854321059822433,0.32640041006799236,0.343963795604407,0.017563385536414622,343,8,2
all_rows,frost_cold,0.09148149087483803,0.08096069600606348,0.010520794868774552,0.43112064180284815,0.4336070999735469,0.0024864581706987576,0.32640041006799236,0.3304691782797323,0.004068768211739959,343,8,5
all_rows,excess_rain,0.09148149087483803,0.06922662026758379,0.022254870607254243,0.43112064180284815,0.4363643933506183,0.005243751547770126,0.32640041006799236,0.33106696389656176,0.0046665538285693975,343,8,3
all_rows,radiation,0.09148149087483803,0.07477930832854748,0.01670218254629055,0.43112064180284815,0.4350648353989639,0.003944193596115753,0.32640041006799236,0.3302289285275206,0.0038285184595282518,343,8,4
anomaly_rows,heat,-4.395776927439492,-4.445985925348461,0.050208997908969266,0.660000554766311,0.6629850479871504,0.0029844932208393793,0.581741615644599,0.5951024603016906,0.01336084465709153,67,8,4
anomaly_rows,drought,-4.395776927439492,-4.801593685811103,0.4058167583716106,0.660000554766311,0.6843392299845336,0.024338675218222527,0.581741615644599,0.6130898392472927,0.031348223602693626,67,8,1
anomaly_rows,frost_cold,-4.395776927439492,-4.404180542994924,0.008403615555431898,0.660000554766311,0.660507613485064,0.0005070587187530062,0.581741615644599,0.5838445772417836,0.002102961597184594,67,8,5
anomaly_rows,excess_rain,-4.395776927439492,-4.583352968852152,0.18757604141265993,0.660000554766311,0.6713402495927807,0.011339694826469682,0.581741615644599,0.5979629743457312,0.01622135870113217,67,8,2
anomaly_rows,radiation,-4.395776927439492,-4.512367803677028,0.11659087623753628,0.660000554766311,0.6670911162376865,0.007090561471375434,0.581741615644599,0.5893036183007518,0.007562002656152811,67,8,3
